Atom: 39
Frequency   X       Y       Z       IR      Raman
282.7175  0.00  -0.02  -0.00  36.157  1.6875
286.8719  -0.02  0.02  0.00  28.8234  2.5816
299.7976  -0.00  0.01  0.02  13.464  2.2319
301.7082  0.01  0.00  -0.01  7.2054  6.8134
302.7576  0.01  -0.01  -0.06  8.46  0.4751
309.6594  0.00  -0.11  -0.09  12.4083  8.0858
317.4359  0.00  -0.02  -0.02  9.3946  4.1573
320.0419  -0.01  -0.05  -0.03  5.6405  1.2022
329.2068  0.02  0.02  0.04  2.7421  1.9588
332.8589  -0.03  -0.04  -0.05  2.6131  1.5035
336.3553  0.01  0.01  -0.00  15.512  2.4882
345.4075  -0.01  -0.02  -0.01  16.0983  4.0714
349.4142  -0.03  -0.04  -0.05  10.0039  2.7027
351.0855  -0.00  -0.02  -0.01  30.2461  5.9162
356.3506  -0.01  -0.01  -0.02  8.3418  4.5281
363.1151  -0.03  0.02  0.01  15.6648  1.4564
370.4086  0.02  0.07  0.05  61.5361  2.0804
386.2393  -0.05  -0.01  -0.00  54.9413  4.1362
387.7181  -0.05  0.01  0.01  99.3099  2.2158
410.0357  -0.00  -0.01  -0.00  39.0221  1.0253
411.6582  -0.00  -0.01  -0.00  43.4947  2.9683
413.2711  0.01  -0.01  -0.01  39.7155  6.8537
426.5268  0.00  0.01  0.01  39.0339  4.4075
438.3855  0.00  0.03  0.03  46.7188  13.3222
469.6334  -0.01  0.09  0.08  80.9109  9.78
483.6002  0.00  0.01  0.01  59.0739  0.5937
493.8025  0.00  -0.00  -0.01  48.9302  1.396
495.7498  -0.00  0.01  0.02  27.0633  5.8231
503.8581  0.00  0.01  0.01  9.8215  5.9157
510.8011  0.03  0.02  0.02  10.8884  8.9454
519.3739  -0.04  -0.12  -0.08  54.0423  25.0754
525.4132  0.02  0.09  0.06  102.6612  3.5387
533.0769  0.01  0.04  0.03  7.3302  1.1431
537.2446  0.03  0.13  0.10  31.8205  17.8355
538.5564  -0.01  -0.04  -0.04  27.5745  1.9953
545.8946  -0.01  -0.02  -0.02  113.4644  18.7149
561.7693  0.06  0.20  0.15  98.4147  19.6539
562.8517  0.01  0.05  0.04  147.0827  10.9055
