Energy (eV)	Intensity
8998.57	     0
8998.57	     0
8998.57	     0
8998.57	     0
8998.57	1.4798
8998.57	     0
8998.66	     0
8998.66	     0
8998.66	     0
8998.66	     0
8998.66	0.467092
8998.66	     0
8998.71	     0
8998.71	     0
8998.71	     0
8998.71	     0
8998.71	0.700165
8998.71	     0
8998.84	     0
8998.84	     0
8998.84	     0
8998.84	     0
8998.84	0.316073
8998.84	     0
8998.96	     0
8998.96	     0
8998.96	     0
8998.96	     0
8998.96	0.0431935
8998.96	     0
8999.22	     0
8999.22	     0
8999.22	     0
8999.22	     0
8999.22	0.586083
8999.22	     0
8999.27	     0
8999.27	     0
8999.27	     0
8999.27	     0
8999.27	0.789566
8999.27	     0
8999.44	     0
8999.44	     0
8999.44	     0
8999.44	     0
8999.44	0.474612
8999.44	     0
8999.56	     0
8999.56	     0
8999.56	     0
8999.56	     0
8999.56	0.194758
8999.56	     0
8999.62	     0
8999.62	     0
8999.62	     0
8999.62	     0
8999.62	0.782879
8999.62	     0
8999.86	     0
8999.86	     0
8999.86	     0
8999.86	     0
8999.86	0.300346
8999.86	     0
8999.89	     0
8999.89	     0
8999.89	     0
8999.89	     0
8999.89	0.124529
8999.89	     0
8999.95	     0
8999.95	     0
8999.95	     0
8999.95	     0
8999.95	1.54636
8999.95	     0
9000.1	     0
9000.1	     0
9000.1	     0
9000.1	     0
9000.1	1.57121
9000.1	     0
9000.3	     0
9000.3	     0
9000.3	     0
9000.3	     0
9000.3	6.33753
9000.3	     0
9000.36	     0
9000.36	     0
9000.36	     0
9000.36	     0
9000.36	0.202392
9000.36	     0
9000.46	     0
9000.46	     0
9000.46	     0
9000.47	     0
9000.47	0.545731
9000.47	     0
9000.49	     0
9000.49	     0
9000.49	     0
9000.49	     0
9000.49	0.636681
9000.49	     0
9000.71	     0
9000.71	     0
9000.71	     0
9000.71	     0
9000.71	0.826273
9000.71	     0
9000.77	     0
9000.77	     0
9000.77	     0
9000.77	     0
9000.77	0.841915
9000.77	     0
9000.96	     0
9000.96	     0
9000.96	     0
9000.96	     0
9000.96	0.604766
9000.96	     0
