Energy (eV)	Intensity
9002.98	     0
9003.04	     0
9003.04	0.462615
9003.04	     0
9003.05	     0
9003.05	0.503398
9003.05	     0
9003.11	     0
9003.11	0.152569
9003.11	     0
9003.12	     0
9003.12	0.152627
9003.12	     0
9003.17	     0
9003.17	0.344888
9003.17	     0
9003.18	     0
9003.18	0.456703
9003.18	     0
9003.29	     0
9003.29	0.226644
9003.29	     0
9003.29	     0
9003.29	0.296127
9003.29	     0
9003.31	     0
9003.31	0.411415
9003.31	     0
9003.32	     0
9003.32	0.407081
9003.32	     0
9003.34	     0
9003.34	0.318886
9003.34	     0
9003.34	     0
9003.34	0.298566
9003.34	     0
9003.49	     0
9003.49	0.355249
9003.49	     0
9003.49	     0
9003.49	0.40711
9003.49	     0
9003.54	     0
9003.54	0.117584
9003.54	     0
9003.54	     0
9003.54	0.153832
9003.54	     0
9003.76	     0
9003.76	0.864329
9003.76	     0
9003.77	     0
9003.77	0.898941
9003.77	     0
9003.82	     0
9003.82	0.688886
9003.82	     0
9003.83	     0
9003.83	0.867658
9003.83	     0
9003.92	     0
9003.92	0.444104
9003.92	     0
9003.92	     0
9003.92	0.759316
9003.92	     0
9004.13	     0
9004.13	0.85394
9004.13	     0
9004.13	     0
9004.13	1.22724
9004.13	     0
9004.13	     0
9004.13	0.434891
9004.13	     0
9004.14	     0
9004.14	2.28593
9004.14	     0
9004.34	     0
9004.34	1.47047
9004.34	     0
9004.35	     0
9004.35	2.29864
9004.35	     0
9004.41	     0
9004.41	0.856638
9004.41	     0
9004.42	     0
9004.42	1.03682
9004.42	     0
9004.61	     0
9004.61	0.167579
9004.61	     0
9004.61	     0
9004.61	0.273138
9004.61	     0
9004.68	     0
9004.68	0.413366
9004.68	     0
9004.69	     0
9004.69	0.550409
9004.69	     0
9004.81	     0
9004.81	1.18545
9004.81	     0
9004.82	     0
9004.82	1.52862
9004.82	     0
9004.92	     0
9004.92	0.702605
9004.92	     0
9004.92	     0
9004.92	0.860656
9004.92	     0
9005.09	     0
9005.09	1.1482
9005.09	     0
9005.1	     0
9005.1	1.30057
9005.1	     0
9005.23	     0
9005.23	0.905456
9005.23	     0
9005.24	     0
9005.24	1.52535
9005.24	     0
9005.34	     0
9005.34	0.629793
9005.34	     0
9005.34	     0
9005.34	0.946497
9005.34	     0
9005.43	     0
9005.43	0.989576
9005.43	     0
9005.46	     0
9005.46	0.924915
9005.46	     0
9005.5	     0
9005.5	1.88981
9005.5	     0
9005.52	     0
9005.52	3.0354
9005.52	     0
9005.66	     0
9005.66	0.0620781
9005.66	     0
9005.66	     0
9005.66	0.0519757
9005.66	     0
9005.78	     0
9005.78	0.659526
9005.78	     0
9005.78	     0
9005.78	0.708345
9005.78	     0
9005.93	     0
9005.93	2.94964
9005.93	     0
9005.95	     0
9005.95	4.70017
9005.95	     0
9006.01	     0
9006.01	0.264987
9006.01	     0
9006.02	     0
9006.02	0.280514
9006.02	     0
9006.1	     0
9006.1	1.01724
9006.1	     0
9006.11	     0
9006.11	0.990954
9006.11	     0
9006.16	     0
9006.16	3.73766
9006.16	     0
9006.18	     0
9006.18	4.82014
9006.18	     0
9006.25	     0
9006.25	1.13953
9006.25	     0
9006.26	     0
9006.26	2.04244
9006.26	     0
9006.28	     0
9006.28	0.64486
9006.28	     0
9006.29	     0
9006.29	0.973332
9006.29	     0
9006.46	     0
9006.46	0.363342
9006.46	     0
9006.47	     0
9006.47	0.431447
9006.47	     0
9006.51	     0
9006.51	1.19099
9006.51	     0
9006.52	     0
9006.52	1.77323
9006.52	     0
9006.68	     0
9006.68	1.44275
9006.68	     0
9006.69	     0
9006.69	2.01224
9006.69	     0
9006.9	     0
9006.9	0.549662
9006.9	     0
9006.91	     0
9006.91	0.760665
9006.91	     0
9007.02	     0
9007.02	0.247394
9007.02	     0
9007.03	     0
9007.03	0.224491
9007.03	     0
9007.05	     0
9007.05	0.12364
9007.05	     0
9007.06	     0
9007.06	0.186292
9007.06	     0
9007.15	     0
9007.15	0.524435
9007.15	     0
