Energy (eV)	Intensity
9002.95	     0
9002.95	0.059696
9002.95	     0
9002.95	     0
9002.95	0.0500241
9002.95	     0
9003.04	     0
9003.04	0.2678
9003.04	     0
9003.04	     0
9003.04	0.615041
9003.04	     0
9003.07	     0
9003.07	0.271473
9003.07	     0
9003.08	     0
9003.08	0.247681
9003.08	     0
9003.14	     0
9003.14	0.0373387
9003.14	     0
9003.15	     0
9003.15	0.0710899
9003.15	     0
9003.19	     0
9003.19	0.472718
9003.19	     0
9003.2	     0
9003.2	0.589211
9003.2	     0
9003.43	     0
9003.43	0.762157
9003.43	     0
9003.44	     0
9003.44	0.768041
9003.44	     0
9003.56	     0
9003.56	0.191802
9003.56	     0
9003.56	     0
9003.56	0.225697
9003.56	     0
9003.66	     0
9003.66	0.0960015
9003.66	     0
9003.66	     0
9003.66	0.127658
9003.66	     0
9003.7	     0
9003.7	0.238181
9003.7	     0
9003.71	     0
9003.71	0.310075
9003.71	     0
9003.81	     0
9003.81	0.653126
9003.81	     0
9003.82	     0
9003.82	0.811292
9003.82	     0
9003.86	     0
9003.86	0.441607
9003.86	     0
9003.88	     0
9003.88	0.405818
9003.88	     0
9003.91	     0
9003.91	0.416523
9003.91	     0
9003.91	     0
9003.91	0.350657
9003.91	     0
9004.04	     0
9004.04	0.0408114
9004.04	     0
9004.06	     0
9004.06	0.0346983
9004.06	     0
9004.32	     0
9004.32	0.0491344
9004.32	     0
9004.35	     0
9004.35	0.0535542
9004.35	     0
9004.35	     0
9004.35	0.125218
9004.35	     0
9004.38	     0
9004.38	0.181413
9004.38	     0
9004.46	     0
9004.46	0.416494
9004.46	     0
9004.48	     0
9004.48	0.468614
9004.48	     0
9004.55	     0
9004.55	0.714544
9004.55	     0
9004.56	     0
9004.56	0.785261
9004.56	     0
9004.61	     0
9004.61	0.42763
9004.61	     0
9004.62	     0
9004.62	0.501877
9004.62	     0
9004.66	     0
9004.66	0.360874
9004.66	     0
9004.69	     0
9004.69	0.237521
9004.69	     0
9004.78	     0
9004.78	0.163992
9004.78	     0
9004.81	     0
9004.81	0.0477855
9004.81	     0
9004.81	     0
9004.81	0.17441
9004.81	     0
9004.83	     0
9004.83	0.0707168
9004.83	     0
9004.9	     0
9004.9	0.178141
9004.9	     0
9004.92	     0
9004.92	0.175501
9004.92	     0
9005.11	     0
9005.11	0.0474411
9005.11	     0
