Energy (eV)	Intensity
9002.93	     0
9002.96	     0
9002.96	0.531667
9002.96	     0
9002.96	     0
9002.96	0.686447
9002.96	     0
9003.07	     0
9003.07	0.323966
9003.07	     0
9003.08	     0
9003.08	0.331514
9003.08	     0
9003.21	     0
9003.21	0.383432
9003.21	     0
9003.21	     0
9003.21	0.644372
9003.21	     0
9003.24	     0
9003.24	0.10398
9003.24	     0
9003.24	     0
9003.24	0.120626
9003.24	     0
9003.34	     0
9003.34	0.735093
9003.34	     0
9003.34	     0
9003.34	0.913291
9003.34	     0
9003.45	     0
9003.45	1.05561
9003.45	     0
9003.46	     0
9003.46	1.25893
9003.46	     0
9003.54	     0
9003.54	0.360328
9003.54	     0
9003.55	     0
9003.55	0.416523
9003.55	     0
9003.73	     0
9003.73	0.36317
9003.73	     0
9003.73	     0
9003.73	0.446342
9003.73	     0
9003.77	     0
9003.77	0.257582
9003.77	     0
9003.77	     0
9003.77	0.365007
9003.77	     0
9003.81	     0
9003.81	0.281576
9003.81	     0
9003.81	     0
9003.81	0.766261
9003.81	     0
9004.01	     0
9004.01	0.329906
9004.01	     0
9004.02	     0
9004.02	0.420024
9004.02	     0
9004.16	     0
9004.16	0.581605
9004.16	     0
9004.17	     0
9004.17	0.666816
9004.17	     0
9004.21	     0
9004.21	0.310362
9004.21	     0
9004.22	     0
9004.22	0.361821
9004.22	     0
9004.35	     0
9004.35	0.118875
9004.35	     0
9004.35	     0
9004.35	0.799037
9004.35	     0
9004.44	     0
9004.44	0.586542
9004.44	     0
9004.44	     0
9004.44	0.893747
9004.44	     0
9004.51	     0
9004.51	0.419451
9004.51	     0
9004.51	     0
9004.51	0.556665
9004.51	     0
9004.64	     0
9004.64	0.210371
9004.64	     0
9004.65	     0
9004.65	0.278218
9004.65	     0
9004.8	     0
9004.8	1.75133
9004.8	     0
9004.81	     0
9004.81	2.35016
9004.81	     0
9004.95	     0
9004.95	0.535427
9004.95	     0
9004.95	     0
9004.95	0.558559
9004.95	     0
9005.13	     0
9005.13	 2.297
9005.13	     0
9005.15	     0
9005.15	2.95174
9005.15	     0
9005.21	     0
9005.21	1.3134
9005.21	     0
9005.22	     0
9005.22	2.21662
9005.22	     0
9005.3	     0
9005.3	0.258128
9005.3	     0
9005.31	     0
9005.31	0.465428
9005.31	     0
9005.33	     0
9005.33	1.22793
9005.33	     0
9005.34	     0
9005.34	1.57287
9005.34	     0
9005.55	     0
9005.55	2.73276
9005.55	     0
9005.57	     0
9005.57	3.89519
9005.57	     0
9005.6	     0
9005.6	0.450848
9005.6	     0
9005.6	     0
9005.6	1.73922
9005.6	     0
9005.71	     0
9005.71	0.328816
9005.71	     0
9005.72	     0
9005.72	0.400968
9005.72	     0
9005.84	     0
9005.84	0.22033
9005.84	     0
9005.85	     0
9005.85	0.305425
9005.85	     0
9005.95	     0
9005.95	0.495764
9005.95	     0
9005.96	     0
9005.96	0.475186
9005.96	     0
9006.06	     0
9006.06	0.365552
9006.06	     0
9006.06	     0
9006.06	0.402919
9006.06	     0
9006.14	     0
9006.14	3.03712
9006.14	     0
9006.16	     0
9006.16	3.87648
9006.16	     0
9006.33	     0
9006.33	0.491918
9006.33	     0
9006.34	     0
9006.34	0.514161
9006.34	     0
9006.42	     0
9006.42	1.73491
9006.42	     0
9006.44	     0
9006.44	2.13631
9006.44	     0
9006.46	     0
9006.46	0.674593
9006.46	     0
9006.47	     0
9006.47	1.18741
9006.47	     0
9006.58	     0
9006.58	0.49387
9006.58	     0
9006.59	     0
9006.59	0.748381
9006.59	     0
9006.64	     0
9006.64	0.244323
9006.64	     0
9006.65	     0
9006.65	0.291793
9006.65	     0
9006.74	     0
9006.74	0.137731
9006.74	     0
9006.74	     0
9006.74	0.148092
9006.74	     0
9006.92	     0
9006.92	1.08609
9006.92	     0
9006.93	     0
9006.93	1.53864
9006.93	     0
9006.98	     0
9006.98	0.169761
9006.98	     0
9006.99	     0
9006.99	0.170564
9006.99	     0
